title,info,links,timestamp,status,rating,comment,tags
大话西游之月光宝盒,imdb:tt0112778 year:1995 director:刘镇伟,https://neodb.social/movie/7I0X1RnNmIc8PEOnGsjJ5G https://movie.douban.com/subject/1299398/ https://www.imdb.com/title/tt0112778/ https://www.themoviedb.org/movie/13345 https://bgm.tv/subject/383125 https://www.wikidata.org/wiki/Q868483,2021-08-17T16:00:00+00:00,complete,,,
西虹市首富,imdb:tt8529186 year:2018 director:闫非/彭大魔,https://neodb.social/movie/0q3PQhCOfJbmp4yY5qoL31 https://www.imdb.com/title/tt8529186/ https://movie.douban.com/subject/27605698/ https://www.themoviedb.org/movie/538331 https://www.wikidata.org/wiki/Q56042875,2021-08-17T16:00:00+00:00,complete,,,
蝙蝠侠：黑暗骑士,imdb:tt0468569 year:2008 director:/person/3PpyzImkStfrJ35JV9FE5Y,https://neodb.social/movie/41bYRpQkGrnC1kRYyL4BmS https://www.themoviedb.org/movie/155 https://eggplant.place/movie/4p56mfI7NafufMP6cu5JYy https://minreol.dk/movie/4gddyYsR4wvM1do255FNO7 https://neodb.deadvey.com/movie/2hD7tckBrKPWejGIsWvV8U https://www.imdb.com/title/tt0468569/ https://bgm.tv/subject/25461 https://bridge.neodb.net/catalog/movie/imdbId-tt0468569 https://movie.douban.com/subject/1851857/ https://www.wikidata.org/wiki/Q163872,2021-08-17T16:00:00+00:00,complete,,,
心灵奇旅,imdb:tt2948372 year:2020 director:彼特·道格特/凯普·鲍尔斯,https://neodb.social/movie/2bpb2kiVZvX9xUcTQPmPij https://movie.douban.com/subject/24733428/ https://www.imdb.com/title/tt2948372/ https://www.themoviedb.org/movie/508442 https://bridge.neodb.net/catalog/movie/imdbId-tt2948372 https://www.wikidata.org/wiki/Q64744044,2021-08-17T16:00:00+00:00,complete,10,,
哈利·波特与魔法石,imdb:tt0241527 year:2001 director:/person/05Ra8kovcARE6m8IAFGdH1,https://neodb.social/movie/7XDaPG0mH3MdEgmoFs4SRh https://www.themoviedb.org/movie/671 https://movie.douban.com/subject/1295038/ https://www.imdb.com/title/tt0241527/ https://minreol.dk/movie/33ph1kIBRPOxNVmS9tbyZR https://www.wikidata.org/wiki/Q102438 https://bridge.neodb.net/catalog/movie/imdbId-tt0241527 https://bgm.tv/subject/60122,2021-08-17T16:00:00+00:00,complete,8,电影与原书相比还是原书更能吸引我,
大话西游之大圣娶亲,imdb:tt0114996 year:1995 director:刘镇伟,https://neodb.social/movie/70XFNgP9EiqlvREPNVbT7O https://www.imdb.com/title/tt0114996/ https://movie.douban.com/subject/1292213/ https://bgm.tv/subject/383126 https://www.themoviedb.org/movie/21835 https://www.wikidata.org/wiki/Q3278995,2021-08-17T16:00:00+00:00,complete,8,,
狮子王,imdb:tt0110357 year:1994 director:/person/1GsQfC4M1vAOVsW4OfC043//person/5SC3V8OSHTDEkTkzGvdojv,https://neodb.social/movie/3SohF1ozWD2KgLfHbMYBSK https://www.themoviedb.org/movie/8587 https://www.imdb.com/title/tt0110357/ https://movie.douban.com/subject/1301753/ https://minreol.dk/movie/0G1RLIhgoaSyGY0w2Oq2AZ https://bgm.tv/subject/22985 https://bridge.neodb.net/catalog/movie/imdbId-tt0110357 https://www.wikidata.org/wiki/Q36479,2021-08-17T16:00:00+00:00,complete,,,
美食总动员,imdb:tt0382932 year:2007 director:/person/3KXddhNJrKx5eZ7UJoIYSJ//person/4aUBgnwaStDl5ibJm15fTN,https://neodb.social/movie/3LMDlofw61HXQDdJitCAVr https://movie.douban.com/subject/1793491/ https://www.imdb.com/title/tt0382932/ https://www.themoviedb.org/movie/2062 https://minreol.dk/movie/6VXnI26gkOuPJjzkg9o2Yv https://watch.socialyeti.club/movie/4eLRBPTjija6bsX6hiBIt5 https://bridge.neodb.net/catalog/movie/imdbId-tt0382932 https://www.wikidata.org/wiki/Q170035,2021-08-20T16:00:00+00:00,complete,8,,
言叶之庭,imdb:tt2591814 year:2013 director:/person/389Zo9NZuJjSZT7koGKFcF,https://neodb.social/movie/5A5D6rCYElhlCIwKsvrMax https://minreol.dk/movie/3PK1fFTcCYNya6xnWqJclC https://bgm.tv/subject/58949 https://movie.douban.com/subject/20470074/ https://www.imdb.com/title/tt2591814/ https://www.themoviedb.org/movie/198375 https://www.wikidata.org/wiki/Q6434185 https://bridge.neodb.net/catalog/movie/imdbId-tt2591814,2021-08-21T16:00:00+00:00,complete,8,,
美丽心灵,imdb:tt0268978 year:2001 director:/person/7E27dmv1z5B0CYlaNE0CoC,https://neodb.social/movie/0V0VzmD5ztLkfq9SbYxYnh https://www.themoviedb.org/movie/453 https://eggplant.place/movie/5apC5jP0idNAaQrtEPcobY https://movie.douban.com/subject/1306029/ https://www.imdb.com/title/tt0268978/ https://bridge.neodb.net/catalog/movie/imdbId-tt0268978 https://www.wikidata.org/wiki/Q164103,2021-08-26T16:00:00+00:00,wishlist,,,
境界的彼方 剧场版 未来篇,imdb:tt4539114 year:2015 director:石立太一,https://neodb.social/movie/1Q3ZY6pi92thyDEElsSyLP https://movie.douban.com/subject/26273481/ https://www.imdb.com/title/tt4539114/ https://www.wikidata.org/wiki/Q117304969 https://www.themoviedb.org/movie/333622,2021-08-26T16:00:00+00:00,complete,8,,
紫罗兰永恒花园 Extra Episode,imdb:tt8802732 year:2018 director:石立太一,https://neodb.social/movie/7Flkq5yxSsHiIuiCdeHxNl https://movie.douban.com/subject/30221777/,2021-08-26T16:00:00+00:00,wishlist,,,
紫罗兰永恒花园 外传 - 永远与自动手记人偶 -,imdb:tt10477558 year:2019 director:藤田春香,https://neodb.social/movie/47yceHCBISB5TKAysSeEiJ https://movie.douban.com/subject/33424345/ https://www.imdb.com/title/tt10477558/ https://www.themoviedb.org/movie/610892 https://www.wikidata.org/wiki/Q73896191 https://bgm.tv/subject/242216,2021-08-26T16:00:00+00:00,wishlist,,,
紫罗兰永恒花园 剧场版,imdb:tt8652818 year:2020 director:石立太一,https://neodb.social/movie/2XmTqN3sZaiQCTDU8u9vm2 https://movie.douban.com/subject/30179560/ https://neodb.kevga.de/movie/0Ja5kDzXSd44y67XOEvBRs https://www.imdb.com/title/tt8652818/ https://www.themoviedb.org/movie/533514,2021-08-26T16:00:00+00:00,wishlist,,,
朝花夕誓,imdb:tt7339826 year:2018 director:冈田麿里/筱原俊哉,https://neodb.social/movie/22WSvPydbv3BvW0L2QL0Z6 https://www.themoviedb.org/movie/476292 https://movie.douban.com/subject/27083561/ https://bgm.tv/subject/218971 https://www.imdb.com/title/tt7339826/ https://www.wikidata.org/wiki/Q35236709,2021-08-26T16:00:00+00:00,wishlist,,,
若能与你共乘海浪之上,imdb:tt9193612 year:2019 director:汤浅政明,https://neodb.social/movie/1E4ADP8Io3A2jgY3QJwOD4 https://movie.douban.com/subject/30345226/ https://www.themoviedb.org/movie/530079 https://www.imdb.com/title/tt9193612/ https://www.wikidata.org/wiki/Q62129109 https://bgm.tv/subject/265372,2021-08-26T16:00:00+00:00,wishlist,,,
想哭的我戴上了猫的面具,imdb:tt11958344 year:2020 director:佐藤顺一/柴山智隆,https://neodb.social/movie/4lXVMRSuAPv4FdbvC7kpDB https://www.imdb.com/title/tt11958344/ https://movie.douban.com/subject/34964061/ https://www.themoviedb.org/movie/667520 https://www.wikidata.org/wiki/Q85881910,2021-08-26T16:00:00+00:00,wishlist,,,
乔西的虎与鱼,imdb:tt12879624 year:2020 director:/person/2uPo3SsMnfbvDr19hYtYUk,https://neodb.social/movie/6fKoBruMUYtAfHLYQXs9Ri https://movie.douban.com/subject/34905764/ https://www.wikidata.org/wiki/Q106452140 https://www.imdb.com/title/tt12879624/ https://bgm.tv/subject/295778 https://www.themoviedb.org/movie/652837 https://bridge.neodb.net/catalog/movie/imdbId-tt12879624,2021-08-26T16:00:00+00:00,wishlist,,,
你好世界,imdb:tt9418812 year:2019 director:伊藤智彦,https://neodb.social/movie/3jorZUL9nGP2jfjqsetQpg https://movie.douban.com/subject/30401194/ https://www.imdb.com/title/tt9418812/ https://www.themoviedb.org/movie/604605 https://www.wikidata.org/wiki/Q63104664,2021-08-26T16:00:00+00:00,wishlist,,,
闪光少女,imdb:tt7013194 year:2017 director:王冉,https://neodb.social/movie/1AUhxtaIeh0O11EW84r58T https://www.wikidata.org/wiki/Q47495133 https://www.imdb.com/title/tt7013194/ https://movie.douban.com/subject/26790961/ https://www.themoviedb.org/movie/477306,2021-08-26T16:00:00+00:00,wishlist,,,
珠峰清道夫,imdb:tt1999130 year:2018 director:玛丽娜·马丁斯,https://neodb.social/movie/5GQ05rhAd3FbRUJEqOTH0F https://movie.douban.com/subject/30167539/ https://www.imdb.com/title/tt1999130/ https://www.wikidata.org/wiki/Q24659691,2021-08-26T16:00:00+00:00,wishlist,,,
魔女宅急便,imdb:tt0097814 year:1989 director:/person/6JUa76AyCrik7CG9YiSjas,https://neodb.social/movie/0uOyPhvIS5IWaLz2VmQYma https://www.imdb.com/title/tt0097814/ https://movie.douban.com/subject/1307811/ https://fantastika.social/movie/23l2ktDcDqH9bgwM1CsPju https://www.themoviedb.org/movie/16859 https://minreol.dk/movie/2QRz2wIKXh5f6kBnkhq2M7 https://bgm.tv/subject/305 https://www.wikidata.org/wiki/Q196602 https://bridge.neodb.net/catalog/movie/imdbId-tt0097814,2021-08-26T16:00:00+00:00,wishlist,,,
调音师,imdb:tt8108198 year:2018 director:斯里兰姆·拉格万,https://neodb.social/movie/6OzqObwA6XUrCx0ISDalRJ https://movie.douban.com/subject/30334073/ https://www.themoviedb.org/movie/534780 https://www.wikidata.org/wiki/Q44612834 https://www.imdb.com/title/tt8108198/,2021-08-26T16:00:00+00:00,wishlist,,,
罗小黑战记,imdb:tt10734928 year:2019 director:/person/4Df6TYFWH6UvHceCFg8bet,https://neodb.social/movie/0DamGvp69SwyGrylQbjZFR https://www.imdb.com/title/tt10734928/ https://bgm.tv/subject/159725 https://www.themoviedb.org/movie/620249 https://movie.douban.com/subject/26709258/ https://bridge.neodb.net/catalog/movie/imdbId-tt10734928 https://www.wikidata.org/wiki/Q67124023,2021-08-26T16:00:00+00:00,wishlist,,,
请以你的名字呼唤我,imdb:tt5726616 year:2017 director:/person/10jprUVymck4Nt1a0mTVPd,https://neodb.social/movie/6KSLhqVMZY9sEHMnTwtZVf https://www.imdb.com/title/tt5726616/ https://www.themoviedb.org/movie/398818 https://bridge.neodb.net/catalog/movie/imdbId-tt5726616 https://www.wikidata.org/wiki/Q25136757 https://movie.douban.com/subject/26799731/,2021-08-26T16:00:00+00:00,wishlist,,,
我们仍未知道那天所看见的花的名字 剧场版,imdb:tt2323836 year:2013 director:长井龙雪,https://neodb.social/movie/3UmUT0tdrtFxvXy2p0jcRC https://movie.douban.com/subject/11584024/,2021-08-26T16:00:00+00:00,wishlist,,,
侧耳倾听,imdb:tt0113824 year:1995 director:/person/31lPQCZE2nsDSLBCdwBWOc,https://neodb.social/movie/3t2X3K2gL3ryF84lFQE0u4 https://bgm.tv/subject/500 https://eggplant.place/movie/2je32snurRd73ZAxhHz4UM https://movie.douban.com/subject/1297052/ https://www.imdb.com/title/tt0113824/ https://www.themoviedb.org/movie/37797 https://bridge.neodb.net/catalog/movie/imdbId-tt0113824 https://www.wikidata.org/wiki/Q842292,2021-08-26T16:00:00+00:00,wishlist,,,
死亡诗社,imdb:tt0097165 year:1989 director:/person/3T743mG1ZnZvyh8keMGg3o,https://neodb.social/movie/1jqjpq1Zl7nTAR7jaTACqC https://bridge.neodb.net/catalog/movie/imdbId-tt0097165 https://eggplant.place/movie/7mAqfflmm3OHZHt5k5bdhE https://www.imdb.com/title/tt0097165/ https://movie.douban.com/subject/1291548/ https://minreol.dk/movie/672FKUNuDv1TraDiQsDWPZ https://www.themoviedb.org/movie/207 https://www.wikidata.org/wiki/Q106316,2021-08-26T16:00:00+00:00,wishlist,,,
企鹅公路,imdb:tt8076344 year:2018 director:石田祐康,https://neodb.social/movie/2PntcoRg9l3chgT3oH6GxI https://movie.douban.com/subject/30158971/ https://www.wikidata.org/wiki/Q59488276 https://www.imdb.com/title/tt8076344/ https://bgm.tv/subject/239270 https://www.themoviedb.org/movie/508422,2021-08-26T16:00:00+00:00,wishlist,,,
不了神话 宫崎骏,imdb:tt6848624 year:2016 director:荒川格,https://neodb.social/movie/631EKupVx4HPnqYVUTjfca https://movie.douban.com/subject/26914034/ https://www.imdb.com/title/tt6848624/ https://www.themoviedb.org/movie/459414 https://www.wikidata.org/wiki/Q42859983,2021-08-26T16:00:00+00:00,wishlist,,,
萤火之森,imdb:tt2061702 year:2011 director:/person/12csiFmYfTbmuY2XONVrDS,https://neodb.social/movie/28euCmRkW8hPdwi5c0WZWV https://www.imdb.com/title/tt2061702/ https://bgm.tv/subject/12544 https://www.themoviedb.org/movie/92321 https://www.wikidata.org/wiki/Q89913709 https://bridge.neodb.net/catalog/movie/imdbId-tt2061702 https://movie.douban.com/subject/5989818/,2021-08-26T16:00:00+00:00,wishlist,,,
昨日青空,imdb:tt8161726 year:2018 director:奚超,https://neodb.social/movie/2adir8obv05uu58h3iR9JY https://www.themoviedb.org/movie/512788 https://www.wikidata.org/wiki/Q55694112 https://www.imdb.com/title/tt8161726/ https://movie.douban.com/subject/26290410/,2021-08-26T16:00:00+00:00,complete,6,三星鼓励一下吧…,
青春猪头少年不会梦到怀梦美少女,imdb:tt10472884 year:2019 director:增井壮一,https://neodb.social/movie/0JHvwat1NQ2yPskcpaWD9G https://www.imdb.com/title/tt10472884/ https://bgm.tv/subject/260680 https://eggplant.place/movie/1iblL7UqIzrhUUhPXdApSm https://www.wikidata.org/wiki/Q66788914 https://www.imdb.com/title/tt9881586/ https://www.themoviedb.org/movie/572154 https://movie.douban.com/subject/30329902/,2021-08-26T16:00:00+00:00,complete,10,,
烟花,imdb:tt6317962 year:2017 director:新房昭之/武内宣之,https://neodb.social/movie/5zfBQdxe52Ruq5XQB4XcLC https://movie.douban.com/subject/26930504/ https://www.wikidata.org/wiki/Q30601864 https://www.imdb.com/title/tt6317962/ https://www.themoviedb.org/movie/431819,2021-08-26T16:00:00+00:00,complete,4,冲歌 加一星,
我想吃掉你的胰脏,imdb:tt7236034 year:2018 director:牛岛新一郎,https://neodb.social/movie/3IQmTFFa0x5116fDRInyY2 https://bgm.tv/subject/221736 https://movie.douban.com/subject/27107140/ https://www.themoviedb.org/movie/504253 https://www.imdb.com/title/tt7236034/ https://www.wikidata.org/wiki/Q56421709,2021-08-26T16:00:00+00:00,complete,,,
哪吒之魔童降世,imdb:tt10627720 year:2019 director:/person/590QIY8enAskvg8AQZ6WLV,https://neodb.social/movie/00mRnUS4JukAU8091gvE1H https://bgm.tv/subject/231261 https://www.imdb.com/title/tt10627720/ https://fun.oois.xyz/movie/27d4pgYyNpQTbyBX3ZrKWc https://eggplant.place/movie/6MR4MuSqC5D9z70xOWOIGF https://www.themoviedb.org/movie/615453 https://movie.douban.com/subject/26794435/ https://bridge.neodb.net/catalog/movie/imdbId-tt10627720 https://www.wikidata.org/wiki/Q65972529,2021-08-26T16:00:00+00:00,complete,6,,
帕丁顿熊2,imdb:tt4468740 year:2017 director:/person/0PrH6w6W9RDlMq0rGZOZJE,https://neodb.social/movie/5gIyRcPU8vDbyw1sQeRs4Z https://movie.douban.com/subject/26340419/ https://www.imdb.com/title/tt4468740/ https://www.themoviedb.org/movie/346648 https://bgm.tv/subject/215957 https://town.darkwitch.net/movie/0hesZ1We5jbJU6wndtPm9x https://www.wikidata.org/wiki/Q27590871 https://bridge.neodb.net/catalog/movie/imdbId-tt4468740,2021-08-26T16:00:00+00:00,complete,,,
夏目友人帐：结缘空蝉,imdb:tt9081300 year:2018 director:大森贵弘/伊藤秀树,https://neodb.social/movie/2UJhthFDB9Igi76nQG1XUC https://www.wikidata.org/wiki/Q55080189 https://bgm.tv/subject/227392 https://movie.douban.com/subject/27166442/ https://www.themoviedb.org/movie/507411 https://www.imdb.com/title/tt9081300/,2021-08-26T16:00:00+00:00,complete,,,
声之形,imdb:tt5323662 year:2016 director:/person/7jFhvIksKErnQTu4r97qDd,https://neodb.social/movie/4Z8i1iyhJFzuFxsYM3whzj https://eggplant.place/movie/3W3bSguZgtJ4TarwoYzRPP https://movie.douban.com/subject/26264454/ https://bgm.tv/subject/117777 https://www.themoviedb.org/movie/378064 https://www.wikidata.org/wiki/Q23925035 https://www.imdb.com/title/tt5323662/ https://bridge.neodb.net/catalog/movie/imdbId-tt5323662,2021-08-26T16:00:00+00:00,complete,,,
勇敢的心,imdb:tt0112573 year:1995 director:/person/6ZJN23pR2Kb2UPy4ezixNk,https://neodb.social/movie/0aGSBoXRjlhchJ39O7cAY2 https://movie.douban.com/subject/1294639/ https://www.themoviedb.org/movie/197 https://www.imdb.com/title/tt0112573/ https://minreol.dk/movie/0rj90qQebctb5kSrNjfylw https://bridge.neodb.net/catalog/movie/imdbId-tt0112573 https://www.wikidata.org/wiki/Q162729,2021-08-29T16:00:00+00:00,wishlist,,,
毒液：致命守护者,imdb:tt1270797 year:2018 director:/person/6G5ur8ieDE8HYHoBiLTNZj,https://neodb.social/movie/5DcLlWAneTa5TrQKKa3eG2 https://www.themoviedb.org/movie/335983 https://movie.douban.com/subject/3168101/ https://minreol.dk/movie/6eV6XSFpDor6GL6RxFwj4E https://eggplant.place/movie/5iUkDNGsVJj7um4MhkY57I https://bgm.tv/subject/244049 https://www.imdb.com/title/tt1270797/ https://bridge.neodb.net/catalog/movie/imdbId-tt1270797 https://www.wikidata.org/wiki/Q23006268,2021-11-29T16:00:00+00:00,complete,8,,
长津湖,imdb:tt13462900 year:2021 director:陈凯歌/徐克/林超贤,https://neodb.social/movie/1BcyoGPxN7nvquNDbgJuHA https://movie.douban.com/subject/25845392/ https://www.themoviedb.org/movie/779029 https://www.wikidata.org/wiki/Q107273994 https://www.imdb.com/title/tt13462900/,2021-12-04T16:00:00+00:00,complete,6,学校组织，三节晚自习,
