title,info,links,timestamp,status,rating,comment,tags
文城,isbn:9787530221099 pub_year:2021 author:/person/6D1G8EXkxjSkfsY1xqz2Et,https://neodb.social/book/0WhdElm9GvmYjJbcxsoPfL https://book.douban.com/subject/35335514/ https://www.goodreads.com/book/show/57313795,2025-04-07T16:00:00+00:00,complete,,很早之前在集训的时候读过,
星尘,isbn:9787559425515 pub_year:2018 author:(英) 尼尔·盖曼 (Neil Gaiman),https://neodb.social/book/1Nei2PajjFbpt002jH3FAf https://book.douban.com/subject/30270242/,2025-04-07T16:00:00+00:00,complete,,很久之前读过，忘记标了,
兄弟,isbn:9787506365697 pub_year:2012 author:/person/6D1G8EXkxjSkfsY1xqz2Et,https://neodb.social/book/7FPmhGluhNTaJFpOhCXzAH https://book.douban.com/subject/20441957/ https://www.goodreads.com/book/show/29868269,2025-05-02T16:00:00+00:00,complete,10,"5月3日10:30:47在宿舍读完
悲惨到荒诞",
与罗摩相会,isbn:9787559416551 pub_year:2018 author:[英] 阿瑟·克拉克,https://neodb.social/book/3S9OS4tyCJ5goMGE46UKpb https://book.douban.com/subject/30161861/ https://www.goodreads.com/book/show/40738292,2025-05-02T16:00:00+00:00,complete,,很久之前看过，已经忘的差不多了，补标,
山月记,isbn:9787539995144 pub_year:2019 author:(日) 中岛敦,https://neodb.social/book/7EJo2pNiRePCjRlHwl25K9 https://book.douban.com/subject/34795345/ https://books.google.com/books?id=_bbyzQEACAAJ,2025-05-05T16:00:00+00:00,wishlist,,,
银河系搭车客指南,isbn:9787532754687 pub_year:2011 author:[英] 道格拉斯·亚当斯,https://neodb.social/book/7J1vDXb5pS3fwfrVhRylPT https://book.douban.com/subject/6265745/ https://www.goodreads.com/book/show/27484131 https://books.google.com/books?id=2JoqtwAACAAJ,2025-05-07T16:00:00+00:00,complete,8,"5月8日08:19:57英语课
很电波很无厘头
有几句还是挺有意思的
不是很理解这样的东西怎么改成电影",
雪国（2022）,isbn:9787573500946 pub_year:2022 author:[日] 川端康成,https://neodb.social/book/1qO0OJSarmlaMgLgeD8MT0 https://book.douban.com/subject/35818897/,2025-05-13T16:00:00+00:00,complete,8,补标,
南方高速,isbn:9787544290678 pub_year:2017 author:[阿根廷] 胡利奥·科塔萨尔,https://neodb.social/book/2Qg1MtMhwKMuyCeLB9Llkg https://book.douban.com/subject/27079479/,2025-05-14T16:00:00+00:00,wishlist,,,
游戏的终结,isbn:9787544280709 pub_year:2020 author:[阿根廷] 胡里奥·科塔萨尔,https://neodb.social/book/2Ydfp2KzMJ2aNJOqEaPgYZ https://book.douban.com/subject/34786083/ https://books.google.com/books?id=8HVczgEACAAJ,2025-05-14T16:00:00+00:00,wishlist,,,
一句顶一万句,isbn:9787536097261 pub_year:2022 author:/person/3ixn1fExhcqY25hcaLa2rQ,https://neodb.social/book/2fXCWIj4ogT1WkDRMJZ6nu https://book.douban.com/subject/36062390/ https://www.goodreads.com/book/show/69916364,2025-06-29T16:00:00+00:00,wishlist,,,
