title,info,links,timestamp,status,rating,comment,tags
冰果,imdb:tt2340841 year:2012 director:武本康弘/木上益治/石原立也/山田尚子/石立太一/北之原孝将/坂本一也/小川太一/内海纮子/河浪荣作,https://neodb.social/tv/2wxMqFipwGwHkrEswmD6Ar https://www.themoviedb.org/tv/65329 https://www.imdb.com/title/tt2340841/ https://eggplant.place/tv/6nHsIMQnfdYQuKwBmnP4ms https://www.wikidata.org/wiki/Q99853668,2023-01-27T16:00:00+00:00,complete,10,"心目中的神作
mayaka真的太可爱了呜呜",
樱花庄的宠物女孩,imdb:tt2296348 year:2012,https://neodb.social/tv/3xZm9T5OLsoJeat1KI9R4o https://www.themoviedb.org/tv/50325 https://www.wikidata.org/wiki/Q104626490 https://www.imdb.com/title/tt2296348/,2023-01-27T16:00:00+00:00,complete,10,,
韦恩,imdb:tt7765404 year:2019 director:Shawn Simmons,https://neodb.social/tv/5Y3sjnVfZkVvt7l8k0WLja https://www.wikidata.org/wiki/Q55642654 https://www.imdb.com/title/tt7765404/ https://www.themoviedb.org/tv/84231,2023-02-01T16:00:00+00:00,wishlist,,,
漫长的季节,imdb:tt27628576 year:2023 director:Xin Shuang,https://neodb.social/tv/26GYKoj38q67bNQmVeOpIU https://www.wikidata.org/wiki/Q120971152 https://www.imdb.com/title/tt27628576/ https://www.themoviedb.org/tv/225008,2023-05-06T16:00:00+00:00,wishlist,,,
小明和王猫,year:2000 director:王川,https://neodb.social/tv/season/4NGBrEohmm15BrJBK5YEWI https://movie.douban.com/subject/3060442/,2023-05-31T16:00:00+00:00,wishlist,,,
万神殿 第一季,imdb:tt11680642 year:2022 season_number:1 director:Craig Silverstein,https://neodb.social/tv/season/7Hf4xWhbfQ8qQjTY9RR9Cp https://www.themoviedb.org/tv/195339/season/1 https://eggplant.place/tv/season/5fqLFxULx8LDuUsQvUZFCo https://movie.douban.com/subject/34990593/ https://www.imdb.com/title/tt11680642/,2023-06-10T16:00:00+00:00,wishlist,,,
新世纪福音战士,imdb:tt0112159 year:1995,https://neodb.social/tv/6TNfzQZ1DYzSt0Pc716wQ1 https://www.imdb.com/title/tt0112159/ https://eggplant.place/tv/23WeaXBc6Uceywa5rPVgOC https://www.wikidata.org/wiki/Q662 https://www.themoviedb.org/tv/890,2023-06-12T16:00:00+00:00,complete,10,,
降世神通：最后的气宗 (卷三：火),imdb:tt0967584 year:2007 season_number:3 director:伊桑·斯波尔丁/吉安卡洛·沃尔普/乔伊姆·多斯·桑托斯,https://neodb.social/tv/season/3aH80wk5sX12FLdVlWlWSa https://movie.douban.com/subject/2270295/ https://eggplant.place/tv/season/11OrX7PAsdzg4G02PvMIna https://www.themoviedb.org/tv/246/season/3,2023-06-30T16:00:00+00:00,wishlist,,,
强风吹拂,imdb:tt9402026 year:2018 season_number:1 director:野村和也/板津匡览/江副仁美/佐藤雅子/丝贺慎太郎/镰田祐辅,https://neodb.social/tv/season/5UxdZ3fhCwUYMQl1sesHy4 https://bgm.tv/subject/248154 https://movie.douban.com/subject/30238385/ https://www.themoviedb.org/tv/82766/season/1,2023-07-26T16:00:00+00:00,wishlist,,,
玉子市场,imdb:tt2560604 year:2013,https://neodb.social/tv/1mn1NuIAnKsDkLUTmDhE0r https://www.wikidata.org/wiki/Q211183 https://www.imdb.com/title/tt2560604/ https://www.themoviedb.org/tv/48561 https://eggplant.place/tv/7TBu9QzNTRPNeVnvypeDA3,2023-08-12T16:00:00+00:00,complete,10,,
漂流少年,imdb:tt14642342 year:2021,https://neodb.social/tv/6E4hA1OehyWPqoUiGCS4wZ https://www.wikidata.org/wiki/Q106837406 https://www.imdb.com/title/tt14642342/ https://www.themoviedb.org/tv/124396,2023-08-12T16:00:00+00:00,wishlist,,,
平家物语,imdb:tt15353550 year:2022,https://neodb.social/tv/3HPLRtNnC8IedFYq062WOb https://www.themoviedb.org/tv/132664 https://www.imdb.com/title/tt15353550/ https://www.wikidata.org/wiki/Q108393516,2023-08-22T16:00:00+00:00,wishlist,,,
瑞克和莫蒂 第四季,imdb:tt2861424 year:2019 season_number:4 director:雅各布·海尔/艾丽卡·海斯,https://neodb.social/tv/season/5noZz25nBmIEPMJVGV8cKD https://eggplant.place/tv/season/0uljQJNKO6XouYxJlgNPS3 https://movie.douban.com/subject/27166039/ https://www.themoviedb.org/tv/60625/season/4 https://bgm.tv/subject/246238 https://movie.douban.com/subject/11537954/,2023-08-28T16:00:00+00:00,complete,,,
瑞克和莫蒂 第五季,imdb:tt12396812 year:2021 season_number:5 director:贾斯汀·罗兰,https://neodb.social/tv/season/6gxHyds5NBA9ELZhoPOCVV https://movie.douban.com/subject/34908206/ https://bgm.tv/subject/331936 https://eggplant.place/tv/season/1798Eg2QCWsCH1Xzsd9Jq6 https://www.themoviedb.org/tv/60625/season/5,2023-08-28T16:00:00+00:00,complete,10,,
第1集,imdb:tt4462494 season_number:2 episode_number:1,https://neodb.social/tv/episode/0xeNnoWbtd5BDSLPgGuNtF https://www.imdb.com/title/tt4462494/,2023-08-28T16:00:00+00:00,complete,,,
第1集,imdb:tt5218228 season_number:3 episode_number:1,https://neodb.social/tv/episode/4MqKeWyMaZRPrzjN1A96Qd https://www.imdb.com/title/tt5218228/,2023-08-28T16:00:00+00:00,complete,,,
怪物,imdb:tt0434706 year:2004,https://neodb.social/tv/7N87sBIyRNA8JEN4y4IGL0 https://www.wikidata.org/wiki/Q100944081 https://www.imdb.com/title/tt0434706/ https://www.themoviedb.org/tv/30981 https://bridge.neodb.net/catalog/tv_show/imdbId-tt0434706,2023-09-19T16:00:00+00:00,wishlist,,,
娜娜,imdb:tt0810705 year:2006 director:/person/796cuJqxErGu8dLHBybeEA,https://neodb.social/tv/713ZQiCfHpyOzkn6uKw9qN https://www.wikidata.org/wiki/Q89343467 https://eggplant.place/tv/2x4NXX8Ist239D3nVEo5jd https://www.themoviedb.org/tv/56568 https://www.imdb.com/title/tt0810705/ https://bridge.neodb.net/catalog/tv_show/imdbId-tt0810705,2023-09-19T16:00:00+00:00,wishlist,,,
拾荒者统治,imdb:tt21056886 year:2023 director:/person/3FXZtwOWDlPB5PbyYIwPon/Joe Bennett,https://neodb.social/tv/6xJwyXV6TN94TJkDF4iZWz https://eggplant.place/tv/4NBKGyH2qChaBjmWuqVGvO https://www.themoviedb.org/tv/204154 https://fantastika.social/tv/4wdas9SveJgGqI3tUgeen1 https://bridge.neodb.net/catalog/tv_show/tmdbId-204154 https://www.wikidata.org/wiki/Q123110427 https://www.imdb.com/title/tt21056886/,2023-11-17T16:00:00+00:00,wishlist,,,
跃动青春,imdb:tt16156718 year:2023,https://neodb.social/tv/7gOmxkSvtBPrN1Lv7VIeV8 https://www.themoviedb.org/tv/139130 https://www.wikidata.org/wiki/Q109651922 https://www.imdb.com/title/tt16156718/,2023-12-25T16:00:00+00:00,wishlist,,,
动物新世代,imdb:tt12013558 year:2020 director:/person/4eb7vLYbX78uxoqMPsa9rw,https://neodb.social/tv/00ihYcB4WqIhFADD8O7sNU https://www.wikidata.org/wiki/Q78051864 https://www.themoviedb.org/tv/92592 https://bridge.neodb.net/catalog/tv_show/imdbId-tt12013558 https://www.imdb.com/title/tt12013558/,2024-01-11T16:00:00+00:00,complete,6,,
来自深渊,imdb:tt7222086 year:2017,https://neodb.social/tv/1kxv6KWIAzcGeCKolKMw8V https://www.imdb.com/title/tt7222086/ https://eggplant.place/tv/3Kvdw3YRdz0zKIYGkL2KlT https://www.themoviedb.org/tv/72636,2024-01-11T16:00:00+00:00,complete,10,神作,
小市民系列,imdb:tt30844357 year:2024,https://neodb.social/tv/00T89H6XczyODBcmxWTLmS https://www.imdb.com/title/tt30844357/ https://www.wikidata.org/wiki/Q124256086 https://www.themoviedb.org/tv/243501 https://eggplant.place/tv/0fdF5lhMu9umO8QVVSEgsE,2024-01-12T16:00:00+00:00,wishlist,,,
来自深渊：烈日的黄金乡,imdb:tt14864494 year:2022 season_number:2 director:小岛正幸,https://neodb.social/tv/season/0QiePF8j8n9DQUS9PKdiuV https://movie.douban.com/subject/30475135/ https://bgm.tv/subject/298477,2024-01-19T16:00:00+00:00,complete,10,,
好兆头,imdb:tt1869454 year:2019 director:/person/0kVwKr73nedfbrL7toLtRg//person/1UHynV26S6Og4cnGgZCUIi,https://neodb.social/tv/2NwMn7Ge6AvWc5DkT26OqT https://www.themoviedb.org/tv/71915 https://www.imdb.com/title/tt1869454/ https://www.wikidata.org/wiki/Q43377320 https://bridge.neodb.net/catalog/tv_show/tmdbId-71915,2024-03-17T16:00:00+00:00,wishlist,,,
午夜福音,imdb:tt11639414 year:2020 director:Pendleton Ward/Duncan Trussell,https://neodb.social/tv/2wOw5nrclljnJletVQOu5n https://www.wikidata.org/wiki/Q79225057 https://www.imdb.com/title/tt11639414/ https://www.themoviedb.org/tv/96713,2024-03-30T16:00:00+00:00,wishlist,,,
我的青春恋爱物语果然有问题。 (我的青春恋爱物语果然有问题 第二季 续),imdb:Q20715984 year:2015 season_number:2 director:及川启//person/1nhuZezELda7Z4v4zXBbuj/池端隆史/松本正幸/直谷隆/嵯峨敏/小林公二/柳濑雄之/松下周平/平峰义大/岩崎光洋/桥口洋介,https://neodb.social/tv/season/0cwXxlUlZlnhTayRYF7skY https://movie.douban.com/subject/25851657/ https://bgm.tv/subject/102134 https://www.wikidata.org/wiki/Q20715984,2024-05-08T16:00:00+00:00,complete,10,,
我的青春恋爱物语果然有问题。 (我的青春恋爱物语果然有问题),imdb:tt2703720 year:2013 season_number:1 director:吉村爱/高桥秀弥/有富兴二/河村智之/中野英明/黑川智之/石川俊介/野亦则行/吉田理纱子,https://neodb.social/tv/season/05dRijFA2AlAqRH7iaINhq https://movie.douban.com/subject/23750688/ https://bgm.tv/subject/54433,2024-05-08T16:00:00+00:00,complete,10,,
我的青春恋爱物语果然有问题。 (我的青春恋爱物语果然有问题 第三季 完),imdb:tt11692704 year:2020 season_number:3 director:及川启,https://neodb.social/tv/season/0wv3va1urLlQMAWdHtB32x https://movie.douban.com/subject/32493713/ https://bgm.tv/subject/277954,2024-05-08T16:00:00+00:00,complete,10,,
败犬女主太多了！,imdb:tt32332831 year:2024 director:Takibi Amamori,https://neodb.social/tv/3ybwEBIdl6agZ8Gw9HsrBt https://www.wikidata.org/wiki/Q123819103 https://www.imdb.com/title/tt32332831/ https://www.themoviedb.org/tv/241535,2024-09-28T16:00:00+00:00,complete,6,"觉得8.8还是有点虚高，拉低一下
可能还是我的期待太高了，实际看下来，一部制作优良的青春恋爱戏剧，仅此而已",
日常,imdb:tt2098308 year:2011,https://neodb.social/tv/1Fsvi8U8iQMLue0CcIP4Q8 https://www.wikidata.org/wiki/Q106567447 https://www.imdb.com/title/tt2098308/ https://www.themoviedb.org/tv/44684,2024-10-20T16:00:00+00:00,wishlist,,,
星际牛仔,imdb:tt0213338 year:1998,https://neodb.social/tv/4qLod9MhiKsFKguwha2Ju4 https://www.imdb.com/title/tt0213338/ https://www.themoviedb.org/tv/30991,2024-10-20T16:00:00+00:00,wishlist,,,
少女终末旅行,imdb:tt7474942 year:2017 director:つくみず/尾崎隆晴,https://neodb.social/tv/4Rs26OQ53esongvgABUm1b https://www.wikidata.org/wiki/Q78192210 https://www.imdb.com/title/tt7474942/ https://www.themoviedb.org/tv/74185,2024-10-21T16:00:00+00:00,complete,8,"10月22日中午在宿舍看完最后两集
断断续续看了三个月，终于看完
节奏实在太慢
结局好评，雨点敲打瓶瓶罐罐的声音当做乐器，二度出现
如果我不知道漫画结局的话这个结局或许看起来充满希望吧…现在想来漫画结局属实有点恶趣味",
乱马½,imdb:tt32766897 year:2024,https://neodb.social/tv/26XQ55bOUTqYPUBRNjHLnw https://www.wikidata.org/wiki/Q126904533 https://www.imdb.com/title/tt32766897/ https://www.themoviedb.org/tv/259140 https://bridge.neodb.net/catalog/tv_show/imdbId-tt32766897,2024-11-23T16:00:00+00:00,wishlist,,,
比宇宙更遥远的地方,imdb:tt7836688 year:2018,https://neodb.social/tv/2YGkGdpZ4HSAErbsAkNtN7 https://www.themoviedb.org/tv/76059 https://www.imdb.com/title/tt7836688/ https://www.wikidata.org/wiki/Q42895115,2024-12-02T16:00:00+00:00,complete,10,"12月3日17:21:01于宿舍看完了最后两集
每个人的心结不断解开，只剩女主的时候，朋友最后的回应真的是太惊喜了",
再见！绝望先生,imdb:tt1169193 year:2007,https://neodb.social/tv/0A7ZaCU0cK2auMF584NLi6 https://www.wikidata.org/wiki/Q6499563 https://www.imdb.com/title/tt1169193/ https://www.themoviedb.org/tv/42887,2024-12-13T16:00:00+00:00,wishlist,,,
放学后失眠的你,imdb:tt26450257 year:2023,https://neodb.social/tv/4lEhd8JP3oRtRjfwds6kPI https://www.themoviedb.org/tv/155440 https://www.wikidata.org/wiki/Q112286931 https://www.imdb.com/title/tt26450257/,2024-12-16T16:00:00+00:00,wishlist,,,
少女乐队Cry,imdb:tt31250134 year:2024,https://neodb.social/tv/1bvtfeCDnYbrruqekdao8k https://www.imdb.com/title/tt31250134/ https://www.wikidata.org/wiki/Q123937666 https://www.themoviedb.org/tv/241928 https://eggplant.place/tv/2UKQbfGqN2R5Jr4EqIqkLl,2025-01-07T16:00:00+00:00,complete,8,"考完期末看的
tomo太喜欢了",
终末列车去哪里?,imdb:tt31975747 year:2024,https://neodb.social/tv/308T9KnyQ8Zydi6pES4CNl https://www.wikidata.org/wiki/Q115152124 https://www.themoviedb.org/tv/212273 https://www.imdb.com/title/tt31975747/,2025-01-21T16:00:00+00:00,wishlist,,,
