title,info,links,timestamp,status,rating,comment,tags
块魂 安可,,https://neodb.social/game/1l2CExs0f98DPXcZdVUPzj https://www.douban.com/game/30325266/,2026-04-13T11:38:12.494171+00:00,complete,10,"又是因为音乐去体验的作品，第一次听到还是在某人的蔚蓝直播里面
在朋友的switch上打完",
茧,,https://neodb.social/game/2b11xEKgMou8PbPfHD3YkM https://www.igdb.com/games/cocoon https://www.douban.com/game/35927414/ https://www.douban.com/game/35927423/ https://bgm.tv/subject/387218 https://www.wikidata.org/wiki/Q112618750 https://store.steampowered.com/app/1497440,2026-04-13T12:40:21.830825+00:00,complete,8,"谜题设计差了点，可能考虑到了玩家平均水平，本可以开发出来更复杂更有意思的谜题
美术风格很棒",
